,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate,Biomass concentration (dry weight),Time of processing,BatchID,Data set,Type
1#18,33.49936,0.009170325,0.03973468,-9.06E-05,0.07173132,0.404239,0.006152157,6.606037,3.758867,0.02961282,4.897553,1,Calibration,NOC
1#19,33.00358,0.01015751,-0.007071829,-0.000564515,0.1569801,0.4155917,0.006291022,6.887167,3.634568,0.004104396,5.243182,1,Calibration,NOC
1#20,33.88073,0.01245582,-0.007884996,0.000403054,-0.1481908,0.4337723,0.005312895,7.211181,4.819635,0.0688531,5.588811,1,Calibration,NOC
1#21,33.35655,0.01441377,-2.54E-02,-0.000400816,0.1021282,0.451221,0.004012045,7.380723,5.421769,-0.05678402,5.934441,1,Calibration,NOC
1#22,34.29546,0.01596709,0.01668837,3.49E-05,0.1124978,0.4610668,0.00509072,7.504298,7.029609,-0.009561577,6.28007,1,Calibration,NOC
1#23,33.18293,0.01799268,-0.07154213,-0.00151566,-0.002347277,0.472619,0.004878348,7.686406,8.946277,0.03978275,6.544739,1,Calibration,NOC
1#24,33.79187,0.01926454,-0.02400989,0.000987102,-0.1883153,0.4840108,0.005152736,7.484858,10.40987,-0.03675173,6.809408,1,Calibration,NOC
1#25,33.71845,0.02020407,0.02934666,0.000609662,-0.01252351,0.4821506,0.004397703,7.473168,11.85848,-0.05722319,7.074077,1,Calibration,NOC
1#26,33.79879,0.02127101,-0.02226833,0.002103786,-0.03319428,0.4922238,0.004771278,7.07408,13.25816,0.1307572,7.338746,1,Calibration,NOC
1#27,33.33347,0.02309566,0.02048099,0.002114627,-0.03453118,0.5002069,0.004178687,7.020262,13.51488,0.1347803,7.603415,1,Calibration,NOC
1#28,32.95274,0.02256063,0.01811024,0.003255532,-0.118356,0.5079659,0.004806574,6.742774,14.44301,-0.1092604,7.868083,1,Calibration,NOC
1#29,33.26048,0.02273998,0.01149718,-0.000997346,0.1314325,0.5087425,0.005140755,6.433898,16.17898,-0.003734427,8.185208,1,Calibration,NOC
1#30,34.24261,0.02360018,0.004982834,-0.000390473,0.02830281,0.516681,0.005159173,6.29204,16.59229,0.03198633,8.502333,1,Calibration,NOC
1#31,33.19357,0.02430924,0.02469859,0.002292131,0.05336265,0.5152164,0.00429776,5.859925,16.3432,0.0312288,8.819457,1,Calibration,NOC
1#32,33.31702,0.02440616,0.0354885,0.000843965,-0.003093643,0.5191503,0.004242126,5.641202,17.41148,0.1070656,9.136582,1,Calibration,NOC
1#33,33.86417,0.02448284,0.0258188,0.000859447,0.03589811,0.530193,0.004533091,5.700072,18.0137,0.00867881,9.453707,1,Calibration,NOC
1#34,33.263,0.02487943,0.01082941,0.003103552,0.4121286,0.5317461,0.004831911,5.234565,18.52775,0.0365842,9.770831,1,Calibration,NOC
1#35,33.8426,0.02546983,0.005447839,0.002274117,0.008909326,0.5323735,0.0041538,5.117662,18.6959,0.1310668,10.29765,1,Calibration,NOC
1#36,33.7029,0.02636167,-0.03980895,0.005058845,-0.1435938,0.5364522,0.00556548,4.687383,20.20438,0.09685985,10.82447,1,Calibration,NOC
1#37,32.55589,0.02658402,0.04765914,0.003326762,0.07130441,0.5376705,0.004445374,4.853853,22.00558,0.003831609,11.35129,1,Calibration,NOC
1#38,33.13577,0.02706093,0.03564012,0.002763221,0.07777854,0.5389448,0.003899484,4.996042,22.61793,0.1120992,11.87811,1,Calibration,NOC
1#39,33.13803,0.0277003,0.04285808,0.006186168,0.1294339,0.5396076,0.003910548,4.957939,23.9251,0.1112599,12.40493,1,Calibration,NOC
1#40,32.26242,0.02849426,0.04325088,0.006248669,0.2960717,0.5456454,0.004743919,5.343714,24.62902,0.2809815,12.93175,1,Calibration,NOC
1#41,31.88941,0.03018551,0.07017879,0.01019315,0.4746187,0.546796,0.003928156,5.326464,25.85589,0.2531566,13.52677,1,Calibration,NOC
1#42,31.06028,0.03079965,0.1281739,0.01198981,0.5367827,0.5492206,0.004581865,5.435954,26.45244,0.2767193,13.70528,1,Calibration,NOC
1#43,31.64862,0.03040458,0.09690579,0.01165502,0.5940852,0.5446962,0.004119533,5.536388,26.91158,0.3511134,13.88379,1,Calibration,NOC
1#44,31.16473,0.03147249,0.09774081,0.01216688,0.4654156,0.544157,0.004346698,5.513824,27.81133,0.3615448,14.0623,1,Calibration,NOC
1#45,31.62724,0.03155185,0.09314646,0.01078507,0.7284681,0.5427806,0.004613258,5.315881,27.52384,0.4954548,14.24081,1,Calibration,NOC
1#46,30.9116,0.03197252,0.1218542,0.01318831,0.8319094,0.546321,0.004651592,5.587372,28.83267,0.4108197,14.41931,1,Calibration,NOC
1#47,31.42411,0.03291997,0.1777147,0.01311521,0.6724895,0.5454341,0.003086241,5.841025,28.79987,0.4208196,14.59782,1,Calibration,NOC
1#48,29.77409,0.03392919,0.2091175,0.01645159,1.163612,0.5433182,0.003670923,6.052837,29.73717,0.7297603,15.05433,1,Calibration,NOC
1#49,29.49098,0.03537276,0.2454965,0.02148157,1.344474,0.5446371,0.004739904,5.997581,31.30856,0.8161047,15.51084,1,Calibration,NOC
1#50,26.44419,0.03666871,0.3224711,0.02585649,1.877601,0.5432578,0.003214259,6.450511,32.52977,1.036462,15.96735,1,Calibration,NOC
1#51,25.5442,0.0367942,0.4990314,0.03174794,2.594647,0.5444779,0.003945653,6.627508,32.19192,1.181155,16.42386,1,Calibration,NOC
1#52,23.9037,0.03888035,0.5539889,0.03831281,3.067044,0.5366682,0.004480846,6.858662,33.63315,1.551957,16.88037,1,Calibration,NOC
1#53,19.91938,0.03860429,0.8356234,0.05273262,4.738396,0.543385,0.00447646,7.211239,34.34017,2.034949,17.51141,1,Calibration,NOC
1#54,14.79641,0.0387807,1.168136,0.07013425,6.199401,0.5471175,0.004871919,7.888515,35.24342,2.882999,18.14244,1,Calibration,NOC
1#55,12.62087,0.03908351,1.282434,0.0766134,6.71339,0.5443109,0.003649212,7.975609,35.12749,3.195112,18.33175,1,Calibration,NOC
1#56,10.79413,0.03724579,1.365627,0.0821805,7.536609,0.5435798,0.004514815,8.358958,35.64661,3.458009,18.52106,1,Calibration,NOC
1#57,7.743257,0.03687926,1.537257,0.09002196,8.386374,0.551072,0.004430704,8.860435,35.55339,3.747732,18.71037,1,Calibration,NOC
1#58,5.447471,0.03701492,1.673003,0.09721843,9.314969,0.5467876,0.003652153,9.601507,36.06791,4.111459,18.89968,1,Calibration,NOC
