Column1,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate
41#19,28.11796,0.009366189,-0.02709059,0.002376989,0.1054951,0.4218488,0.005374709,7.164608,3.446853
41#20,27.42874,0.01077809,-0.008161184,-7.37275e-05,-0.05457596,0.4349379,0.004956252,7.416435,3.880693
41#21,27.92804,0.01248516,0.02701803,-0.000924334,-0.01271189,0.4536478,0.004643969,7.658537,4.815856
41#22,27.16206,0.01503179,0.03977641,0.00297874,0.1461552,0.4634116,0.005456757,8.014054,6.253597
41#23,27.94538,0.01693862,0.00514006,0.00176456,-0.2486432,0.4784152,0.00487619,8.090369,7.807381
41#24,28.11627,0.01800981,-0.02075163,0.001415134,0.07358572,0.4802353,0.005075741,8.038565,10.18055
41#25,27.78585,0.01919902,-0.03656508,0.00216427,-0.005418748,0.4882218,0.004727035,7.922362,10.22737
41#26,27.47833,0.02045606,0.02769554,0.000107434,-0.125139,0.4965926,0.00534059,7.846904,12.27944
41#27,27.62879,0.02171286,0.04734401,0.002480052,-0.1926028,0.5008357,0.004341837,7.300994,13.34422
41#28,27.19917,0.02150778,-0.002118887,0.000358983,-0.1434053,0.50783,0.00522005,7.171298,14.61507
41#29,27.51785,0.0218893,0.02169947,0.002057318,-0.1342628,0.5056795,0.004165177,7.090902,15.08559
41#30,27.46579,0.02270036,0.006323002,-0.001950213,0.03515153,0.5174446,0.004022255,7.048139,15.98958
41#31,27.83491,0.02344321,0.03143099,-0.001449298,0.1623388,0.5220456,0.004711381,6.57787,16.89676
41#32,27.07974,0.02366209,-0.000984387,0.000497282,-0.1304524,0.5247488,0.00372767,6.295374,18.22662
41#33,27.93127,0.02386882,-0.006071083,0.000957432,0.2497944,0.5250754,0.003767274,6.026224,17.84568
41#34,26.99686,0.02402095,0.02625119,0.000916727,0.1427726,0.5269185,0.003651487,5.758164,19.25692
41#35,27.59706,0.02459293,0.02422103,0.001034954,0.09811465,0.5342858,0.004012816,5.647195,19.19534
41#36,27.79642,0.02504168,0.04821632,0.001909356,-0.1308104,0.531869,0.005264911,5.380884,19.60918
41#37,27.71774,0.02397502,0.0716934,0.000569021,0.005272787,0.5382353,0.004523349,5.096647,20.70088
