,Column1,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate
0,64#20,26.30448,0.01402018,0.01131065,0.001559691,-0.05591781,0.4231049,0.004556515,9.503373,5.148479
1,64#21,26.22362,0.01535918,0.01454446,0.001058731,-0.001086437,0.4329093,0.004797688,9.86911,6.117711
2,64#22,26.71454,0.01869939,0.01249813,-0.000684512,-0.1746178,0.4481544,0.005553719,9.862236,8.800271
3,64#23,26.76045,0.02026325,0.01253599,0.001252535,0.1646833,0.4581586,0.005208061,10.27583,11.25147
4,64#24,26.56689,0.02129457,-0.01905338,0.001343793,0.3168688,0.4698184,0.004870512,10.18958,13.47741
5,64#25,26.58704,0.02197992,-0.01135973,-0.00026061,-0.01252456,0.4746309,0.004446787,9.731151,14.83014
6,64#26,26.80044,0.02424289,-0.000118306,0.001357332,-0.1219561,0.4854423,0.004083191,9.673741,16.49341
7,64#27,27.15114,0.02524042,0.001394724,0.000734531,-0.1533245,0.4969047,0.004240969,9.478706,17.91876
8,64#28,26.52262,0.02614699,0.003618001,-0.00045867,0.2650428,0.4990587,0.005036246,9.380527,18.79594
9,64#29,26.42126,0.02647074,0.0136365,0.000911066,-0.0712501,0.5055945,0.005161318,9.042048,20.80624
10,64#30,26.62746,0.02742608,0.0162605,0.000390262,-0.04652731,0.5104115,0.003989899,8.586658,22.48005
11,64#31,26.84457,0.02787408,0.01253788,0.001751477,0.01365624,0.5195532,0.005148266,8.390202,23.27649
12,64#32,26.70179,0.02881119,0.04802665,-0.000183284,-0.03571783,0.5268145,0.003366944,7.90719,23.95209
13,64#33,26.56712,0.02969887,0.04782102,7.3809e-06,0.007376399,0.5277643,0.005218771,7.778215,26.14211
14,64#34,26.3976,0.02973979,0.04578933,0.000753686,0.3802499,0.5287697,0.00483379,7.302854,25.35037
15,64#35,26.51395,0.03027436,0.0213371,0.00312536,0.0450673,0.5331433,0.00461683,7.128823,27.44921
16,64#36,26.51534,0.03098873,0.07360546,0.001633441,0.3728322,0.5359426,0.003650826,7.24297,28.12781
17,64#37,25.25835,0.03342704,0.03423038,0.001469695,0.08137624,0.5388572,0.005083472,7.054086,29.52022
18,64#38,25.10557,0.03430547,0.07290704,0.002529335,0.1923276,0.5425411,0.004539114,7.007278,30.93188
19,64#39,25.00815,0.0361263,0.08582693,0.005361316,0.361781,0.5406451,0.004548599,7.225533,32.6645
20,64#40,25.35895,0.03915804,0.1118403,0.005126258,0.2017986,0.5445105,0.004168099,7.500293,33.74834
21,64#41,24.91976,0.04154805,0.1476704,0.007648604,0.6193984,0.5428309,0.003901194,7.296783,35.63571
22,64#42,23.84288,0.04501661,0.2503494,0.01054534,0.5686935,0.5464857,0.003974616,8.086595,35.99707
23,64#43,22.80435,0.05038464,0.3829683,0.01667017,1.19863,0.549402,0.004323876,8.286981,38.3878
24,64#44,20.62174,0.05482571,0.4875573,0.02118593,1.860133,0.5464038,0.005322177,8.642088,38.6694
25,64#45,18.4573,0.05955023,0.6809823,0.02870351,2.47554,0.543337,0.004114537,8.833116,39.86302
26,64#46,17.18768,0.06321719,0.9506203,0.03644158,3.28672,0.5447062,0.004447371,9.119534,39.9918
27,64#47,12.86163,0.06285114,1.159376,0.04518403,4.207362,0.5462168,0.004440418,9.708023,40.87485
28,64#48,11.54186,0.06197629,1.328174,0.0493612,4.573586,0.5515559,0.003940257,9.571862,41.78125
29,64#49,11.57478,0.06119169,1.400939,0.05064381,4.980924,0.547109,0.004103136,9.917574,41.2039
30,64#50,9.719062,0.05869368,1.44808,0.05444676,5.187811,0.5460439,0.004714582,10.1389,41.00447
31,64#51,7.930071,0.05616513,1.63739,0.05923432,5.982664,0.5479991,0.005144503,10.19651,41.93172
32,64#52,7.449811,0.05619951,1.678498,0.05954953,6.013523,0.5482545,0.003933306,10.65315,40.96037
33,64#53,6.9435,0.05430226,1.70548,0.06155254,6.114169,0.5473418,0.004112385,10.63886,41.81996
34,64#54,6.545477,0.05424647,1.6929,0.06240265,6.319062,0.5470718,0.004853229,10.3585,41.13186
35,64#55,5.898353,0.05221505,1.735272,0.06367917,6.462238,0.5458333,0.004353879,10.5318,41.8538
36,64#56,5.648111,0.05201059,1.784099,0.06537855,6.481242,0.5487044,0.003977378,10.77084,41.86464
37,64#57,5.576014,0.05025221,1.787185,0.0658556,6.526191,0.5493928,0.003610899,10.75908,41.11964
38,64#58,4.119524,0.04832509,1.875487,0.0673041,6.936415,0.5395253,0.004815455,11.06428,41.87345
39,64#59,3.853789,0.04746208,1.892448,0.07064859,7.024202,0.5438638,0.004494565,11.07346,40.97431
40,64#60,2.872628,0.04489395,1.958794,0.07375102,7.778197,0.5490953,0.00400118,11.2052,40.51337
41,64#61,2.902173,0.04184383,1.938644,0.07584847,8.005054,0.546914,0.0040333,11.21036,39.67876
42,64#62,1.782797,0.03847292,2.050654,0.07562837,8.026811,0.5475961,0.004017163,10.90802,39.44176
43,64#63,1.179538,0.03745022,2.05226,0.07549287,8.264189,0.5427757,0.00467038,10.89495,38.62542
44,64#64,0.7615087,0.03678039,2.03536,0.07999448,8.280179,0.5486102,0.003941731,10.40863,37.91548
45,64#65,0.4885704,0.03383077,2.039426,0.08105966,8.383998,0.5473726,0.004413493,10.36913,36.95659
46,64#66,0.5470123,0.0315547,2.045045,0.08040354,8.219844,0.5491003,0.004964567,9.054597,35.55844
47,64#67,0.05297303,0.03099494,2.025814,0.0807018,8.506575,0.543626,0.004360757,8.659039,33.98521
48,64#68,0.624149,0.02962387,2.015524,0.08122588,8.476866,0.5487438,0.003878478,8.488065,33.62606
49,64#69,0.6392639,0.02854517,1.957254,0.081132,8.657261,0.5407575,0.005514192,7.710748,31.84184
50,64#70,1.06832,0.0281914,2.015684,0.08307993,8.581697,0.5461789,0.004521097,7.263622,30.25802
51,64#71,0.06937464,0.0271209,1.992895,0.08223907,8.657506,0.5438282,0.005552293,7.165081,30.51119
52,64#72,-0.02251632,0.02514699,2.006832,0.07914571,8.457568,0.5432566,0.004273866,6.039879,28.86549
53,64#73,0.2074931,0.02573749,1.999659,0.08046839,8.567866,0.5474259,0.004825702,5.523695,27.90154
54,64#74,0.09320672,0.02426886,1.995171,0.08232065,8.713408,0.544825,0.005125703,4.795303,27.77147
55,64#75,0.1731311,0.02437251,1.99645,0.08113768,8.24198,0.5448298,0.004453242,4.03055,26.04896
56,64#76,0.1533326,0.02239829,1.981352,0.08215468,8.73044,0.5500283,0.00492091,3.05178,25.37986
57,64#77,-0.07316164,0.02172813,2.009575,0.08181103,8.684375,0.5429502,0.004641036,2.100533,24.81643
58,64#78,0.3910277,0.01827154,1.960976,0.07635829,8.718063,0.5438029,0.005110091,2.115446,23.04044
59,64#79,0.02063728,0.0180916,1.983894,0.08011042,8.62403,0.5435975,0.005811058,2.137536,22.8537
60,64#80,-0.7011693,0.01765082,1.996086,0.07797953,8.609358,0.5419326,0.004063052,2.196547,22.05441
61,64#81,0.3035111,0.01715159,2.002407,0.0785747,8.490401,0.5423909,0.004799048,2.230328,22.27455
62,64#82,-0.12082,0.01662952,1.996075,0.07838807,8.529111,0.5459526,0.004677225,2.186092,19.88331
63,64#83,-0.2962206,0.01471672,1.969469,0.0776969,8.66328,0.5469315,0.00411862,2.152089,18.70354
64,64#84,0.08943742,0.01334515,1.949344,0.07763206,8.613487,0.5410221,0.004475132,2.011229,19.08246
65,64#85,0.2260973,0.01279613,1.967185,0.07334892,8.806376,0.5442602,0.004555119,1.7653,18.27973
66,64#86,-0.433994,0.01015824,1.926133,0.07306913,8.67275,0.5494772,0.004439754,1.678036,17.4763
67,64#87,0.2914583,0.008912205,1.985789,0.07283705,8.533579,0.5450439,0.005075746,1.860892,17.99905
68,64#88,-0.8755173,0.007822016,2.006334,0.07371385,8.536148,0.5471807,0.004353152,1.874727,16.17654
69,64#89,-0.4288543,0.006616825,1.965846,0.07229447,8.357485,0.5432922,0.00611977,1.805331,15.34771
